user,text,compound analysis,positive analysis,negative analysis,neutral analysis
@CNN,Instagram is adding content warnings for koala selfies https://t.co/4xczDhuOCV https://t.co/lCY9gYtejL,-0.296,0,0.196,0.804
@CNN,The Philippines has suspended its large-scale dengue vaccination effort after learning that Dengvaxia could make so… https://t.co/A8AIo4a7y5,-0.4767,0,0.162,0.838
@CNN,"A homeless man saved two children from their burning home after hearing cries for help, officials say… https://t.co/LzJKrZ8cHU",0.4215,0.248,0.122,0.631
@CNN,"RT @CNNPolitics: President Trump calls Sen. Orrin Hatch ""a true fighter,” before offering a nudge for 2018: ""We hope you will continue to s…",0.6908,0.213,0,0.787
@CNN,How an allergic reaction to baby detergent sparked @JessicaAlba to create @Honest | #BossFiles with @PoppyHarlowCNN… https://t.co/X1z8qGPByM,-0.0258,0.115,0.12,0.765
@CNN,"Today, President Trump will announce the fate of national monuments in Utah. For some, it could offer hope and new… https://t.co/CRZvLfIxiH",0.4404,0.127,0,0.873
@CNN,Complications emerged in a Kentucky couple's pregnancy as a new law banned abortions at 20 weeks. They had to decid… https://t.co/IYu5jRZ9ti,-0.4588,0,0.143,0.857
@CNN,These artists are preserving Hong Kong’s history with miniature models https://t.co/o6AQJqltRK (via @CNNStyle) https://t.co/UBwbju3sRZ,0,0,0,1
@CNN,The Senate tax bill would allow oil drilling in Alaskan wilderness https://t.co/Z92qe54q7j https://t.co/eeMduKHsfC,0.2263,0.137,0,0.863
@CNN,Death toll spikes nearly two months after Somalia truck bombings https://t.co/dsK2BieDpR https://t.co/0oGdzNmqfx,-0.5994,0,0.262,0.738
@CNN,"Founder of Neo-Nazi site says 'troll storm' is protected speech, wants lawsuit dismissed https://t.co/yi2hRVHAoO https://t.co/0ITlTIVsey",0.25,0.163,0.107,0.73
@CNN,"Sen. Mark Warner reacts to GOP tax reform: ""Friday was my single worst day as a US senator.... This was Swamp 101""… https://t.co/HtdCdvG2MH",-0.6249,0,0.163,0.837
@CNN,Here's what we've learned in court and from filings about the Michael Flynn case https://t.co/ZYEOxtk7nR https://t.co/icZepF8BeY,0,0,0,1
@CNN,"Florida teen found safe in New York with 27-year-old soccer coach, sheriff says https://t.co/tjC3Mm86DL https://t.co/vgDvAMRJuO",0.4404,0.172,0,0.828
@CNN,Elon Musk plans to send his Tesla Roadster to Mars on a giant rocket https://t.co/BjKhRKh4t3 https://t.co/VBFZxhIRCH,0,0,0,1
@CNN,Golf writer Michael Corcoran says then-citizen Donald Trump made a 'p-word' comment in 2000 https://t.co/9piT65pziY https://t.co/hR3WkX4oFr,0,0,0,1
@CNN,"After a fatal police shooting, this mom is haunted by shocking incisions all over her son's body #BeneathTheSkin… https://t.co/KqNBJvffuK",-0.8519,0,0.383,0.617
@BBC,"If you put all the man hours together, it would be 75 years of someone's life to do all the visual effects on Paddi… https://t.co/qXDiEDggSw",0,0,0,1
@BBC,"The extent with which we use our unconscious mind is enormous – and the more we use it, the better we perform many… https://t.co/HYw72pkMD4",0.4404,0.116,0,0.884
@BBC,"This woman is showing people how to turn their food pics into #FoodPorn. 🍩🤤
Via BBC Minute. https://t.co/sScwTTcPuB",0,0,0,1
@BBC,RT @TWBBC: If you're in Glasgow Wednesday night expand your mind with the Tomorrow's World Live show at the Science Centre - all about brai…,0.3182,0.091,0,0.909
@BBC,"RT @BBCR1: ⚡️ @EdSheeran just took on a HUGE Christmas song in the Live Lounge 🎄✨

https://t.co/Nu8EtGE2Go",0.4648,0.168,0,0.832
@BBC,"The Scottish Crossbill, one of the country's most unique birds, is at threat of extinction. 🐦💔
Via @BBCScotland. https://t.co/w5UHkB5y6i",-0.5267,0,0.159,0.841
@BBC,"RT @bbcmusic: Watch an exclusive performance of @U2's classic 'All I Want Is You' now on @BBCiPlayer
U2 At The BBC: coming to @BBCOne 19/12…",0.2023,0.113,0,0.887
@BBC,How do you re-create Buckingham Palace? @BBCClick sat down with #TheCrown's visual effects supervisor to find out.… https://t.co/LukVoPSKHm,0,0,0,1
@BBC,"'Good luck, little leatherback' - Sir David Attenborough 🐢

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",0.7096,0.396,0,0.604
@BBC,"How do you make puppets fall in love? ❤️️🎎
Puppeteers reveal their techniques. https://t.co/GPNqLrFZit https://t.co/HfB09Yw8ek",0.6369,0.231,0,0.769
@BBC,"RT @BBCEarth: In Cape Verde, @ProjetoBioSal is on a mission to save baby turtles from human impact. 🐢
#OurBluePlanet w/ @AluciaProd https:/…",0.4939,0.144,0,0.856
@BBC,"RT @BBCr4today: If you do one thing today...

Listen to Gaelynn Lea play the violin #r4today https://t.co/nXixd8e8rO",0.34,0.13,0,0.87
@BBC,Stewards working at Prince Harry &amp; Meghan Markle's Royal Wedding have been told to watch Suits before the big day.… https://t.co/ErN62dBvF6,0,0,0,1
@BBC,"🎄🍿 A snack to bring a little joy to your world this Christmas. 
Via @BBCFood. https://t.co/YM6ALRCeYQ",0.5434,0.212,0,0.788
@BBC,"RT @bbcmusic: 💫@Harry_Styles is nominated for BBC Music Artist Of The Year, and we're STILL obsessed with this performance of 'Sign Of The…",-0.1779,0,0.072,0.928
@BBC,"The poignant moment police officers promise to uphold the law. 👮
#TheForce via @BBCScotland.
Watch on @BBCiPlayer 👉… https://t.co/una6xGmRHY",0.3182,0.119,0,0.881
@BBC,"Tonight, @DrSamWillis gets to grips with Viking boat technology and rides an Iron Age chariot. Invasion! with Sam W… https://t.co/4a7qYwlUC4",0,0,0,1
@BBC,How you can help a friend who is struggling with depression 💛 https://t.co/g12Wf5PCFK https://t.co/2LyBie5nGE,-0.1531,0.289,0.319,0.392
@BBC,"Your smartphone could play a vital role in stopping disease epidemics. 📱🤧
Via @TWBBC. https://t.co/wuwmB0jWty",0.4588,0.267,0.093,0.64
@BBC,"Christmas plans = sorted. #Sherlock, #PeakyBlinders, #HappyValley and more boxsets are coming to @BBCiPlayer! 🎄 📺 😍… https://t.co/0n83tZLoMx",0,0,0,1
@BBC,It's cold out there! Why not warm up with one of these hearty hotpots for dinner? 🥘 https://t.co/K6TbxWxZ7O https://t.co/ipPd81IwLi,-0.2401,0,0.103,0.897
@BBC,📻 💬 Why apologising and saying 'just' might actually be a good idea. https://t.co/O7udV2QymZ https://t.co/AFyjl514cA,0.4767,0.291,0,0.709
@BBC,"It's #WorldCupDraw day! 🙌

Whichever country you land on will be your second team at the #WorldCup (unless they’re… https://t.co/Kns3zUZ2KG",0,0,0,1
@BBC,🎞❤️️ Debbie Reynolds and Carrie Fisher - Hollywood's greatest couple. https://t.co/D2I3S0LAZt https://t.co/gJcLDusupa,0.6369,0.296,0,0.704
@BBC,"RT @BBC_Teach: 🚨1 hour to go till our Pablo #BBCLiveLessons with @CBeebiesHQ🚨

Have you got an art-related question for Pablo's art directo…",0,0,0,1
@BBC,"📺🎄🎁 Call The Midwife, Mary Berry's Christmas Party, Doctor Who, 300 Years of French &amp; Saunders and more! Coming to… https://t.co/nz2i4YfhR7",0.4574,0.13,0,0.87
@BBC,Ever wondered how a smartphone is put together? 📱 Via @BBCClick https://t.co/APUJaqh7aO,0,0,0,1
@BBC,"Prince Harry and Meghan Markle will marry at St George's Chapel, Windsor Castle next May. ❤️️💍… https://t.co/qcRVNIF4Fi",0,0,0,1
@BBC,RT @BBCWthrWatchers: Happy Tuesday!😊 https://t.co/oPgNkuTPpv,0.6114,0.499,0,0.501
@BBC,Would you know what to do in a medical emergency? 🚑 🤕 🚨 Here are 7 simple first aid techniques that can help save l… https://t.co/VOhpQtodKg,0.5106,0.223,0.098,0.679
@BBC,RT @BBCWthrWatchers: We've had a flurry of stunning #snow pics recently. Here are some of our favourites https://t.co/X6WsovaMqE https://t.…,0.3818,0.133,0,0.867
@BBC,"Tonight, a team of scientists begin an expedition to Nyiragongo, one of the world's most dangerous volcanoes.… https://t.co/cP6Oo6ukqz",-0.5256,0,0.175,0.825
@BBC,🎬 Are Prince William &amp; Harry in the new Star Wars film? They wouldn't be the first royals to appear in the franchis… https://t.co/AYdWUD6ruB,-0.5574,0,0.141,0.859
@BBC,RT @BBCiPlayer: **** GEO block to local people only **** https://t.co/urwlB4ribR,-0.4404,0,0.225,0.775
@BBC,RT @BBCSpringwatch: When you get a bit carried away with the #BlackFriday sales... https://t.co/u22SAXDRh6,0,0,0,1
@BBC,A South African court has more than doubled Oscar Pistorius's jail sentence for killing Reeva Steenkamp.… https://t.co/NSxCMmLw17,-0.6249,0.066,0.223,0.711
@BBC,RT @bbcpress: 🕶 @jowhiley gets an Access All Areas pass from #DoctorWho this Christmas. Listen in on @BBCRadio2: https://t.co/qAVIXS5cK2 #D…,0,0,0,1
@BBC,🖼💰 Buying paintings to get rich is a fantasy akin to winning the lottery. https://t.co/czBoRPeu9z https://t.co/1R55GnOYmK,0.7906,0.35,0,0.65
@BBC,How much do you know about the UK’s favourite lunch? 😋 https://t.co/IenNhFcqap https://t.co/ouoz5Ay0Hz,0,0,0,1
@BBC,"🍲😋 It's warm, delicious &amp; it's vegan! This @Nigella_Lawson recipe is perfect for the cooling weather. Via @BBCFood.… https://t.co/2YjbZWeEUa",0.8622,0.375,0,0.625
@BBC,RT @TWBBC: Check out these hipsters with their fancy phones for #archivecatwalk. A vision of #mytomorrow. (thanks to @BBCarchive) https://t…,0.25,0.1,0,0.9
@BBC,Will people just do whatever they’re told if the order comes from a supposed authority figure?… https://t.co/mHe4jh71yT,0.0772,0.08,0,0.92
@BBC,RT @bbcworldservice: Meet the 18-year-old risking his life busking in Baghdad. https://t.co/yoLfsRqiGY,-0.3182,0,0.173,0.827
@BBC,"A wee bit of #ASMR (if that's what you're into 😏).
Via @BBCTheSocial. https://t.co/fqP5S0a5R4",0,0,0,1
@BBC,"When Tantor the elephant cracked his tusk, it took 30 people to give him root canal surgery. 🐘 Via @BBC5Live. https://t.co/R0236y3kcg",0,0,0,1
@BBC,England’s 500-year-old angel roofs are a medieval marvel few people know. 👼⛪️ https://t.co/2wPv0qjdRp https://t.co/sw5UaZLgbC,0.4215,0.189,0,0.811
@BBC,"RT @BBCCiN: This is Noah &amp; Gracies' story told by @SamSmithWorld

It's upsetting but very important

Please give at https://t.co/HkSxqBgXP4…",0.6068,0.24,0.082,0.678
@BBC,Watch @NiallOfficial surprise these young carers with a performance they'll never forget. ❤️ #ChildrenInNeed #CiN https://t.co/VvbuaYoI9K,0.4149,0.225,0,0.775
@BBC,As many as 1 in 10 dads experience postnatal depression and it's time we start talking about it. Via @BBCStories. https://t.co/LUAu26TW1h,-0.5719,0,0.163,0.837
@BBC,"Follow registrar Kate Dickenson as she juggles her personal life with the daily dramas of births, marriages and dea… https://t.co/z5XV9blFlJ",0,0,0,1
@BBC,"RT @BBCBreakfast: Survivors of the Grenfell Tower disaster are given some special time away .
@CornwallHugs is a campaign to fund holidays…",-0.34,0.109,0.165,0.726
@BBC,RT @bbcwritersroom: Check out a new interview with @wiggywalsh on creating and writing #Motherland for @BBCTwo with @SharonHorgan @hellycak…,0.296,0.115,0,0.885
@BBC,"🎸 From Rick Nielsen's five-necked guitar to Bo Diddley's Twang Machine, here are 8 of the craziest custom guitars i… https://t.co/xyNaPdMDf3",-0.0516,0,0.062,0.938
@BBC,New Zealanders are complaining about being left off maps. 🌎📌 Via @BBCTrending. https://t.co/2sHfQw1JJM,-0.2023,0,0.13,0.87
@BBC,The Church of England has issued transphobic bullying guidance which says children should be free to wear a tiara o… https://t.co/RlVbvED5NS,-0.1531,0.131,0.155,0.714
@BBC,'The whole thing was basically an extravagant quarter-life crisis.'  Author and screenwriter @Sathnam Sanghera on T… https://t.co/Wr3MkfCrVW,0,0,0,1
@BBC,"Speak to us in Dothraki, Jason Mamoa. 😍 Via @BBCOne. https://t.co/YjJEARLTCi",0,0,0,1
@BBC,How to find out what your family did in WW1. https://t.co/PeoJQ0C79F https://t.co/RywkNsdyKn,0,0,0,1
@BBC,RT @BBCTwo: Missed our Facebook Lives with the cast of #PeakyBlinders? Here's some of the best bits from the day... 😎🐶 https://t.co/NaIgBJT…,0.4588,0.159,0.083,0.758
@BBC,"This picture has gone viral, but it's not what you think it is. 😂 https://t.co/Fi1JJRFYhK https://t.co/XG28dYDgwp",0,0,0,1
@BBC,"🎵 ""Michelle Pfeiffer, that white gold..."" 🎵

How Michelle Pfeiffer feels about being in the lyrics of @BrunoMars​'… https://t.co/zyuEsDdUKT",0,0,0,1
@BBC,Johnny Depp's Captain Jack Sparrow prank did NOT go to plan. ☠ 😂 Via @BBCOne. https://t.co/VXeakM2Be5,0,0,0,1
@BBC,RT @BBCFood: Mary Berry uses crab and cod to make her fishcakes. How do you make yours? 🦀 https://t.co/Rhh4k4hjGS https://t.co/iqkJmdhtat,0,0,0,1
@BBC,"RT @BBCWales: If you go down to Cardiff today
You'd bear-ly believe your eyes
If you go down to Cardiff today
Prepare for a big surprise
Fo…",0.2732,0.077,0,0.923
@BBC,👕🤳📻🎶 @BBC6Music's #TShirtDay is coming! Here's @BBClamacqshow's guide to band t-shirt etiquette.… https://t.co/q3mecYhsWM,0,0,0,1
@BBC,The gender pay divide starts early &amp; in the home. Boys receive on average £2.20 more pocket money a week than girls… https://t.co/R79YBeMlST,-0.1027,0,0.062,0.938
@BBC,Artists are often praised for the way they sample tracks. But is sampling actually a form of musical theft? 🎶… https://t.co/jNcgOIdLYd,0.4939,0.144,0,0.856
@BBC,"RT @BBCOne: Q: How many tickles does it take to make a squid laugh?
A: Ten tickles. 

#BluePlanet2 https://t.co/fhKPOUBp5U",0.5574,0.175,0,0.825
@BBC,🐙 A group of octopuses were seen taking a leisurely stroll along a Ceredigion beach last Friday night. Via… https://t.co/n3jq0oNT7J,0,0,0,1
@BBC,"Pro surfer, Heidar Logi braves Iceland's freezing conditions to surf under the Northern Lights. 🌊🏄 Via… https://t.co/6cPd5lVami",0.3612,0.15,0.073,0.777
@BBC,"RT @CBeebiesHQ: Whatever the weather, keep your kids entertained this #autumn with these 5 ideas...

🍁🍂 https://t.co/wT8oVaVYqg 🙌

@HEYDUGG…",0.4019,0.144,0,0.856
@BBC,"RT @bbcmusic: 🙌 @LiamPayne we are SO READY 😍
#SLFN https://t.co/GWU3xAKmpq",0.6439,0.347,0,0.653
@BBC,How the #BluePlanet2 team captured this incredible display on camera for the first time. 💙 via @BBCEarth. https://t.co/22ObAUaZ0V,0,0,0,1
@BBC,"RT @BBCRadio2: They might not have healed the rift *just yet*, but Noel​ has given @liamgallagher some stationery inspiration for tonight..…",0.6808,0.187,0,0.813
@BBC,"RT @BBCCiN: 📀 We're delighted to announce @katiemelua is to release the official #CiN 2017 single, ‘Fields of Gold’ 🙌

More ➡️ https://t.co…",0.5106,0.142,0,0.858
@BBC,"RT @bbccomedy: Oh, the joys of the morning school run...

#Motherland NEW SERIES - Starts 7th Nov, 10pm @BBCTwo https://t.co/usUguJagbS",0.4939,0.151,0,0.849
@BBC,'Decapitated man' #Halloween display in Tennessee sparks 911 calls. 🚨 https://t.co/d63qNSKWko https://t.co/cjxsmbqLA9,0,0,0,1
@BBC,"🎶👻 From David Bowie to @PJHarveyUK, here are 13 spooky tunes to soundtrack your #Halloween. 👉… https://t.co/5XkVfFuVCD",0,0,0,1
