user,text,time,compound analysis,positive analysis,negative analysis,neutral analysis
@CNN,Three Miss America Organization leaders resign after report about emails https://t.co/7ZY0IqRfen https://t.co/y4WYlHdKQG,Sat Dec 23 22:30:06 +0000 2017,-0.4588,0.0,0.286,0.714
@CNN,Princess Michael of Kent has apologized for wearing a controversial brooch to a Buckingham Palace lunch attended by… https://t.co/O2MNjSAL3R,Sat Dec 23 22:15:10 +0000 2017,0.128,0.12,0.094,0.785
@CNN,Invention targets 'porch pirates' to keep them from swiping holiday packages https://t.co/GPyMZd3rsM https://t.co/Y498jN23MC,Sat Dec 23 22:00:18 +0000 2017,0.4019,0.184,0.0,0.816
@CNN,Apple has acknowledged what many iPhone owners long suspected: It has slowed older phones https://t.co/liT13KLQLL https://t.co/aKoXNCtV6h,Sat Dec 23 21:45:08 +0000 2017,-0.2263,0.0,0.112,0.888
@CNN,This Syrian baby lost his eye to war. Now people are covering their eyes in solidarity. https://t.co/l960SvlUye https://t.co/Pn7yVaKKwa,Sat Dec 23 21:30:06 +0000 2017,-0.6124,0.094,0.265,0.641
@CNN,"US ambassador apologizes for 2015 remarks he had called ""fake news"" https://t.co/Jvv9LEly5I https://t.co/Sxr8zHDMVL",Sat Dec 23 21:15:02 +0000 2017,-0.1531,0.151,0.187,0.663
@CNN,"President Trump's new coin remakes the US in his own gaudy image, writes Dean Obeidallah for @CNNOpinion… https://t.co/kYPeWVi0Ui",Sat Dec 23 21:00:04 +0000 2017,0.0,0.0,0.0,1.0
@CNN,Kmart must pay $59 million in drug fraud settlement https://t.co/FKjOk3wjMB https://t.co/wqv5YWmULn,Sat Dec 23 20:45:10 +0000 2017,-0.6369,0.0,0.366,0.634
@CNN,"The White House denies a New York Times report stating that President Trump said Haitian immigrants ""all have AIDS""… https://t.co/E2IFu04Ulu",Sat Dec 23 20:30:06 +0000 2017,-0.4215,0.0,0.135,0.865
@CNN,"Deputies' stray bullet has killed a 6-year-old boy in Texas, sheriff says https://t.co/lhFISW26gQ https://t.co/J0TIHXCdeL",Sat Dec 23 20:00:08 +0000 2017,-0.6705,0.0,0.273,0.727
@CNN,"An all-female cast gives the ""Oceans 8"" trailer a feminine twist on the franchise https://t.co/eFp6CTp0cl https://t.co/pOCz64f89T",Sat Dec 23 19:45:10 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"Bruce McCandless, the first astronaut to float untethered in space, has died https://t.co/NerJHp38gK https://t.co/f5LwmAjyrd",Sat Dec 23 19:30:05 +0000 2017,-0.5574,0.0,0.217,0.783
@CNN,"SpaceX launch leaves ghostly, glowing trail in the sky https://t.co/pV806THH8b https://t.co/E3TQei8PIf",Sat Dec 23 19:15:30 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"""They use black men as slaves."" Migrants tell of brutality in Libya https://t.co/lhAC5p7AbZ https://t.co/pIfjkyM26a",Sat Dec 23 19:00:20 +0000 2017,-0.6124,0.0,0.235,0.765
@CNN,More than 100 million Americans are expected to travel over the holidays https://t.co/suAF1j0obu https://t.co/2EnVQrHPRp,Sat Dec 23 18:45:04 +0000 2017,0.3818,0.167,0.0,0.833
@CNN,The suspect in the Melbourne car attack has been charged with 18 counts of attempted murder https://t.co/VOP8tH5pjY https://t.co/HHS02nGJOj,Sat Dec 23 18:30:24 +0000 2017,-0.8957,0.0,0.457,0.543
@CNN,The Thomas Fire is now the largest blaze in California history https://t.co/GAej0l145p https://t.co/f7ETw4ZRhC,Sat Dec 23 18:15:17 +0000 2017,-0.34,0.0,0.167,0.833
@CNN,Celebrating Festivus can be as easy as following these 5 steps https://t.co/7APkyPMt7W https://t.co/ZpuPwfRHum,Sat Dec 23 18:00:32 +0000 2017,0.765,0.398,0.0,0.602
@CNN,Tropical Storm Tembin leaves dozens dead in the Philippines https://t.co/MUoNldNM9e https://t.co/thGTVJxnIp,Sat Dec 23 17:45:16 +0000 2017,-0.6486,0.0,0.301,0.699
@CNN,Musician Mariah Carey to return to Times Square for New Year's Eve after last year's mishap https://t.co/k9bIm7qilj https://t.co/FtLAkyvjZ4,Sat Dec 23 17:30:10 +0000 2017,0.0,0.0,0.0,1.0
@CNN,How world leaders fared in a turbulent year https://t.co/A2Udc6Ykny https://t.co/xsm84YcGZC,Sat Dec 23 17:15:06 +0000 2017,0.0,0.0,0.0,1.0
@CNN,These four chefs met in the ‘80s … and changed everything | via @CNNTravel https://t.co/luLioPntqx https://t.co/jEXG2QeDB9,Sat Dec 23 17:00:28 +0000 2017,0.0,0.0,0.0,1.0
@CNN,Bitcoin rebounds after serious slump https://t.co/Jg0Ym9FgJP https://t.co/DbCC85gIWU,Sat Dec 23 16:45:08 +0000 2017,-0.0772,0.0,0.178,0.822
@CNN,"President Trump has departed the White House for vacation at his Florida club, Mar-a-Lago, where is known for colle… https://t.co/oMfMSCEUuh",Sat Dec 23 16:30:09 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"Donald J. Trump is America's first Festivus President, writes Gregory Krieg https://t.co/CPPjI2MVCL https://t.co/qDOXzq6v18",Sat Dec 23 16:15:08 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"Christmas is about finding what's holy in all of us, writes Jay Parini for @CNNOpinion https://t.co/MvBzadUmEp https://t.co/ZY0eim7VWh",Sat Dec 23 16:00:17 +0000 2017,0.0,0.0,0.0,1.0
@CNN,London's Big Ben bell is chiming again after falling silent for restoration work https://t.co/i8MvW863Eh https://t.co/NPoj0TzkKr,Sat Dec 23 15:45:12 +0000 2017,-0.1531,0.0,0.103,0.897
@CNN,An aardvark is dead and meerkats are missing after a fire forced London Zoo to close https://t.co/3EiLE8dR8u https://t.co/rSm3mq2N73,Sat Dec 23 15:30:03 +0000 2017,-0.8979,0.0,0.478,0.522
@CNN,This Syrian baby lost his eye to war. Now people are covering their eyes in solidarity. https://t.co/aKFzSqli3t https://t.co/Cv9s2x7tj8,Sat Dec 23 15:15:31 +0000 2017,-0.6124,0.094,0.265,0.641
@CNN,John Legend cast as Jesus Christ in upcoming NBC live musical https://t.co/DTbKz7wp4I https://t.co/KAzyubFOcL,Sat Dec 23 15:00:23 +0000 2017,0.0,0.0,0.0,1.0
@CNN,A baby born with her heart outside her body has survived three surgeries to insert it back into her chest… https://t.co/7bJkJJRbWn,Sat Dec 23 14:30:28 +0000 2017,0.5106,0.148,0.0,0.852
@CNN,Apple has acknowledged what many iPhone owners long suspected: It has slowed older phones https://t.co/5eN9eIC4dc https://t.co/B5dMGHPpd0,Sat Dec 23 14:00:27 +0000 2017,-0.2263,0.0,0.112,0.888
@CNN,"Almost 6 in 10 Americans have a favorable opinion about Joe Biden in a new CNN national poll, a finding sure to giv… https://t.co/OdAqEumjoD",Sat Dec 23 13:30:03 +0000 2017,0.6597,0.231,0.0,0.769
@CNN,Princess Michael of Kent apologized for wearing a controversial brooch to a Buckingham Palace lunch attended by Pri… https://t.co/Oy9qqISERL,Sat Dec 23 13:23:50 +0000 2017,0.128,0.12,0.094,0.785
@CNN,"The US government has lifted a ban on making lethal viruses, saying the research is necessary to develop strategies… https://t.co/zvfPpv2V1K",Sat Dec 23 13:00:26 +0000 2017,-0.5574,0.0,0.167,0.833
@CNN,"Nearly 7 in 10 Americans say sexual harassment is a very serious problem, according to a new CNN Poll, a 34-point s… https://t.co/67sLINlxzo",Sat Dec 23 12:30:16 +0000 2017,-0.7947,0.0,0.335,0.665
@CNN,The strange and fascinating stories behind your favorite Christmas songs https://t.co/VhKiyUIYN2 https://t.co/xptKCPV5mb,Sat Dec 23 12:00:21 +0000 2017,0.6908,0.376,0.104,0.52
@CNN,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/79cUVGD5kr,Sat Dec 23 11:30:57 +0000 2017,0.0,0.0,0.0,1.0
@CNN,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/cxnbI5JglE,Sat Dec 23 11:02:46 +0000 2017,0.4215,0.141,0.0,0.859
@CNN,9-year-old Schnaika was brought to the US for treatment after she was injured in Haiti's 2010 earthquake. But despi… https://t.co/dgZ72yUT8H,Sat Dec 23 10:30:11 +0000 2017,-0.4019,0.0,0.124,0.876
@CNN,The 10 health questions that had you Googling this year https://t.co/WRtQrjNmus https://t.co/Tq5m6v7SiE,Sat Dec 23 10:00:29 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"Tropical Storm Tembin hit the island of Mindanao in the Philippines, killing at least 75 people, authorities said.… https://t.co/pxMVxvyi8b",Sat Dec 23 09:47:59 +0000 2017,-0.6597,0.0,0.196,0.804
@CNN,"The Winter Olympics, a royal wedding and really, really good movies: Here are 18 things you can look forward to in… https://t.co/rOqZSxWjQM",Sat Dec 23 09:30:18 +0000 2017,0.5379,0.148,0.0,0.852
@CNN,Does Christmas music turn you into the Grinch? https://t.co/7LFSwhZFNO https://t.co/4YSKH09ic7,Sat Dec 23 09:00:19 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"2017 in photos: News, Politics, Sports https://t.co/8MGUhcAuOQ https://t.co/V8YwBwRNx9",Sat Dec 23 08:31:33 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"From a new US President to hurricanes and #metoo, take a look back at the long, turbulent trip 2017 has been.… https://t.co/nHwKEpAy1e",Sat Dec 23 08:00:17 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"""This is not an ordinary flight."" Air Canada took a 787 Dreamliner out of normal operation to be an actual runway m… https://t.co/e0lhk5P42j",Sat Dec 23 07:46:06 +0000 2017,0.0,0.0,0.0,1.0
@CNN,2017: The year feminism fought back https://t.co/MfZGojK3k0 https://t.co/lsLIdk2Dz1,Sat Dec 23 07:30:11 +0000 2017,-0.3182,0.0,0.247,0.753
@CNN,"Cancer patients between the ages of 15 and 39 are too young for some treatments, too old for others: Can technology… https://t.co/dvh166Qz0L",Sat Dec 23 07:16:05 +0000 2017,-0.6597,0.0,0.173,0.827
@CNN,"2017 in politics, GIF-wrapped https://t.co/83mhmEP05w https://t.co/Jn39ZQUEDW",Sat Dec 23 07:00:43 +0000 2017,0.0,0.0,0.0,1.0
@CNN,Val Kilmer has gone from denying he had cancer to being much more open about his diagnosis https://t.co/XrmC8xyvDl https://t.co/bIBeQHL4jF,Sat Dec 23 06:46:03 +0000 2017,-0.7783,0.0,0.286,0.714
@CNN,Take a look back at the photos that shaped 2017 https://t.co/eWqS6bWv8Q https://t.co/g2aJErnoUm,Sat Dec 23 06:30:17 +0000 2017,0.0,0.0,0.0,1.0
@CNN,The wreck of Australia's oldest submarine has been discovered off the coast of Papua New Guinea after disappearing… https://t.co/u9W9SwJIsv,Sat Dec 23 06:16:43 +0000 2017,-0.4404,0.0,0.139,0.861
@CNN,"Why the rituals that ""our family does"" make it stronger while promoting early development. https://t.co/JHQIu1RqG5 https://t.co/aOTq1LLo2g",Sat Dec 23 06:00:21 +0000 2017,0.6249,0.267,0.0,0.733
@CNN,The government in Delhi has turned to an unusual solution to tackle air pollution: a water mist cannon… https://t.co/DEu6q8QFbQ,Sat Dec 23 05:46:05 +0000 2017,0.3182,0.119,0.0,0.881
@CNN,"About 85% of young children in the United States believe in Santa Claus, and that percentage has not changed since… https://t.co/dTG02RgkA3",Sat Dec 23 05:30:09 +0000 2017,0.4215,0.123,0.0,0.877
@CNN,"""I didn't call that fake news."" The new US ambassador to the Netherlands lied twice to a Dutch news crew: first, he… https://t.co/STmCEHe3Cd",Sat Dec 23 05:16:03 +0000 2017,-0.0119,0.102,0.103,0.795
@CNN,Six mind-body tips for less holiday stress https://t.co/kTI8Ul3HLn https://t.co/rt3GGQnwds,Sat Dec 23 05:00:28 +0000 2017,-0.0296,0.202,0.211,0.587
@CNN,Inside the psychology of sycophants https://t.co/LEKYBtUssB via @CNNhealth https://t.co/tLr3G9BOOC,Sat Dec 23 04:31:06 +0000 2017,0.0,0.0,0.0,1.0
@CNN,President Trump's decision to recognize Jerusalem as the capital of Israel was condemned by 128 countries in a Unit… https://t.co/UBDn2FJG7a,Sat Dec 23 04:16:04 +0000 2017,-0.4404,0.0,0.139,0.861
@CNN,Pardon the interruption: This Virgin Australia employee surprised passengers with an amazing rendition of a Christm… https://t.co/4XmSroCbAa,Sat Dec 23 04:02:25 +0000 2017,0.6705,0.356,0.111,0.533
@CNN,"Corporate America caught fire in 2017, hauling in fatter profits than ever before. https://t.co/KDDIvU12Zs https://t.co/4LZZ1tw81d",Sat Dec 23 03:51:04 +0000 2017,0.128,0.158,0.131,0.71
@CNN,Mika Brzezinski apologizes for remarks she made about some of the women who had accused Mark Halperin of sexual har… https://t.co/dfvzIRqeEz,Sat Dec 23 03:44:47 +0000 2017,0.0772,0.105,0.093,0.802
@CNN,Mattel is struggling. Hasbro has fallen from its highs. Even the mighty Lego posted a recent drop in sales. Here's… https://t.co/7HPGpOOkjG,Sat Dec 23 03:36:06 +0000 2017,-0.7506,0.0,0.303,0.697
@CNN,"The world will soon be watching the Winter Olympics in South Korea, and a US election in November will determine if… https://t.co/IUDXzDXpAq",Sat Dec 23 03:31:07 +0000 2017,0.0,0.0,0.0,1.0
@CNN,How hackers are taking advantage of the bitcoin boom https://t.co/fjCzYALIyJ https://t.co/gFHG0VdYzd,Sat Dec 23 03:16:06 +0000 2017,0.25,0.167,0.0,0.833
@CNN,"The US is going to provide anti-tank weapons to Ukraine, a senior State Department official told CNN… https://t.co/TyboFXhGRV",Sat Dec 23 03:06:06 +0000 2017,-0.4404,0.0,0.153,0.847
@CNN,Three-course meals and fine china were a daily ritual for the family of Eric Ripert. So it was hardly a shocker whe… https://t.co/wfMoqeDc6N,Sat Dec 23 03:01:38 +0000 2017,0.1263,0.081,0.059,0.859
@CNN,A three-judge panel of the 9th US Circuit Court of Appeals has ruled that the latest version of President Trump's t… https://t.co/4wkpsjdMka,Sat Dec 23 02:56:06 +0000 2017,0.0,0.0,0.0,1.0
@CNN,UK passports will change from burgundy to blue after Brexit https://t.co/l0AyMhkjtG https://t.co/qhNiCeXjVl,Sat Dec 23 02:51:04 +0000 2017,0.0,0.0,0.0,1.0
@CNN,A former US Marine talked with an undercover FBI employee about carrying out a terror attack over the holidays at P… https://t.co/83QOHqDpsX,Sat Dec 23 02:46:02 +0000 2017,-0.5994,0.1,0.249,0.651
@CNN,Exclusive: A former aide to GOP Rep. Blake Farenthold told House Ethics Committee she was pressured to perform camp… https://t.co/dCCp4iGUvw,Sat Dec 23 02:41:08 +0000 2017,-0.1027,0.074,0.093,0.833
@CNN,Fiat Chrysler Automobiles is recalling around 1.8 million heavy duty Ram pickups due to a mechanical problem that c… https://t.co/mDAdD0Ra40,Sat Dec 23 02:38:07 +0000 2017,-0.4019,0.0,0.13,0.87
@CNN,"Alabama Sen.-elect Doug Jones clarifies comments on sexual harassment allegations facing President Trump: ""I think… https://t.co/j8jB3AG5Uc",Sat Dec 23 02:31:04 +0000 2017,-0.3818,0.098,0.18,0.722
@CNN,"Nearly 7 in 10 Americans say sexual harassment is a very serious problem, according to a new CNN Poll, a 34-point s… https://t.co/XcloLc6iZJ",Sat Dec 23 02:21:05 +0000 2017,-0.7947,0.0,0.335,0.665
@CNN,Meet the top-ranking female chess player and the only woman in the World Chess Federation's Top 100 players… https://t.co/jQv3TmjY8B,Sat Dec 23 02:13:03 +0000 2017,0.2023,0.091,0.0,0.909
@CNN,President Trump bucks White House tradition by skipping an end-of-year press conference https://t.co/wApp7k3QT2 https://t.co/McqBDButuy,Sat Dec 23 02:10:23 +0000 2017,0.0,0.0,0.0,1.0
@CNN,President Trump has visited his properties more than 100 times this year https://t.co/KXWrwjDPUY https://t.co/BgB9iQkyst,Sat Dec 23 01:41:03 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"They've been dubbed ""ghost ships."" This year marked a record for this mysterious phenomenon as nearly 100 North Kor… https://t.co/UHdaG1B6QP",Sat Dec 23 01:31:10 +0000 2017,-0.3182,0.0,0.113,0.887
@CNN,"Steven Spielberg, director of ""The Post,"" speaks to CNN about how current attacks on the press can be traced back t… https://t.co/ZFjyJw0nw9",Sat Dec 23 01:22:20 +0000 2017,-0.4404,0.0,0.121,0.879
@CNN,"RT @OutFrontCNN: President Trump will spend the holiday at his Mar-A-Lago club, home of many controversies. CNN's Tom Foreman has more. htt…",Sat Dec 23 01:21:29 +0000 2017,0.4019,0.114,0.0,0.886
@CNN,Swipe left if you voted for Trump: How dating in New York is changing under the new administration… https://t.co/SZKc2sMdVP,Sat Dec 23 01:11:03 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"With nicknames like ""Willy Wonka,"" ""Sweet Man,"" ""Mr. Chocolate,"" and ""wizard,"" Jacques Torres has rightfully earned… https://t.co/5mZKjhzDxn",Sat Dec 23 01:01:06 +0000 2017,0.6705,0.268,0.0,0.732
@CNN,RT @OutFrontCNN: Rep. Sheila Jackson Lee: I believe the President and Speaker Ryan would do well to reinforce their commitment to the unfet…,Sat Dec 23 00:59:14 +0000 2017,0.5719,0.19,0.0,0.81
@BBC,"RT @BBCSpringwatch: A sneak peek of Winterwatch 2018.
We'll be looking at hawfinches - aren't they just beautiful birds! https://t.co/AFPYy…",Sat Dec 23 21:09:09 +0000 2017,-0.5327,0.0,0.168,0.832
@BBC,"RT @BBCRadio3: Where and when did Tchaikovsky's masterpiece become a seasonal favourite?
https://t.co/bTnmwEtFup",Sat Dec 23 20:58:32 +0000 2017,0.6249,0.272,0.0,0.728
@BBC,"Bamouflage 😂🚓🚨
#ScotSquad | @BBCScotland  https://t.co/9yekjDuVrm",Sat Dec 23 20:30:02 +0000 2017,0.0,0.0,0.0,1.0
@BBC,Can't. Watch. Too. Embarrassing. 😳🤦 Are these the six most cringeworthy moments in TV history?… https://t.co/b27bU7nWOQ,Sat Dec 23 19:33:04 +0000 2017,0.2924,0.127,0.0,0.873
@BBC,Such sad news. Channel 4 Gogglebox star Leon Bernicoff dies aged 83: https://t.co/LsCSrLlwCy https://t.co/QATluqRVWo,Sat Dec 23 19:13:06 +0000 2017,-0.4767,0.0,0.205,0.795
@BBC,"#ManFlu vs Woman Flu 😂

Via @BBCTheSocial https://t.co/JHloYCd1Qr",Sat Dec 23 19:00:05 +0000 2017,-0.3818,0.0,0.302,0.698
@BBC,"Tonight, a special extended episode of #OurFriendVictoria celebrates Victoria Wood's festive comedy. 9:30pm on… https://t.co/hVKMlUKyQN",Sat Dec 23 18:31:03 +0000 2017,0.8979,0.543,0.0,0.457
@BBC,5 amazing tribute acts go head to head in a Christmas special hosted by @PaddyMcGuinness. Even Better Than The Real… https://t.co/279EkIcEv9,Sat Dec 23 17:34:05 +0000 2017,0.8555,0.37,0.0,0.63
@BBC,"This is just too much. 😍

@BBCNews https://t.co/DFDLzlhx9U",Sat Dec 23 17:00:01 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"RT @bbc5live: Hospital surprises teenage girl patient by bringing a horse on the ward 🐴 

Chloe delivered her sister the ultimate Christmas…",Sat Dec 23 16:37:26 +0000 2017,0.2263,0.091,0.0,0.909
@BBC,"Gadara is Jordan's ancient town 'without a soul'. https://t.co/JtDf7PGw0G

@BBC_Travel https://t.co/vktf9sKzZO",Sat Dec 23 16:33:04 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"RT @bbcweather: #Sun starting to set on #Christmas eve, eve! Are you feeling ready for the big day yet? Some beautiful sunset shots taken b…",Sat Dec 23 16:02:59 +0000 2017,0.8016,0.271,0.0,0.729
@BBC,"Sephton was selling drugs and in a gang from when he was eight years old, but now has a powerful story of redemptio… https://t.co/8HwkrYn86e",Sat Dec 23 16:00:06 +0000 2017,0.5719,0.15,0.0,0.85
@BBC,Official photographs to mark the engagement of Prince Harry and Meghan Markle have been released by… https://t.co/f4TBWrawFo,Sat Dec 23 15:30:09 +0000 2017,0.4588,0.158,0.0,0.842
@BBC,"RT @BBCNews: Big Ben's bongs are back to make your New Year's Eve complete 🎉

https://t.co/NVtOYi3GBC https://t.co/YU0pym1QLS",Sat Dec 23 15:14:41 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"RT @BBCSpringwatch: 10 stunning photos of animals in the snow 
https://t.co/Ap7kaHaozX https://t.co/4EZLG6S6qv",Sat Dec 23 15:13:16 +0000 2017,0.3818,0.191,0.0,0.809
@BBC,RT @BBCTwo: It’s been 3 days since #PeakyBlinders finished and there’s only question still on our minds... What happened to Cyril the dog?!…,Sat Dec 23 15:12:54 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"✂🍇 Somebody get Jennifer Saunders a bucket. 

#AbsolutelyChampers | Now on @BBCiPlayer 👉 https://t.co/9YdoI9PSjq… https://t.co/lMP9Hy5Mgt",Sat Dec 23 15:00:01 +0000 2017,0.0,0.0,0.0,1.0
@BBC,Almost 75% of people hold some sort of paranormal beliefs. So what makes the supernatural so appealing? 👻😱… https://t.co/dvRKCcMG2X,Sat Dec 23 14:30:05 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"🎭 In case Christmas doesn't bring you enough drama, @BBCiPlayer have you covered. 👉 https://t.co/RjjSf6K8En https://t.co/uwXjUvdDRC",Sat Dec 23 14:00:04 +0000 2017,0.0,0.0,0.0,1.0
@BBC,A homeless man stood guard by a car in freezing rain for hours to make sure a handbag and money was not stolen. ❤️️… https://t.co/64ScnahFCy,Sat Dec 23 13:30:05 +0000 2017,0.5466,0.195,0.055,0.75
@BBC,"Big Christmas stars, big Christmas laughs &amp; big Christmas surprises. 🎁

Michael McIntyre's Big Christmas Show | 24… https://t.co/a7eBlCnPpE",Sat Dec 23 13:00:06 +0000 2017,0.6249,0.254,0.0,0.746
@BBC,Expecting a Christmas guest that doesn't eat gluten? These tasty versions of traditional recipes are a good place t… https://t.co/k42zNbBO3P,Sat Dec 23 12:31:04 +0000 2017,0.4404,0.146,0.0,0.854
@BBC,"The world's steepest railway has opened in the Swiss Alps. 🚂🏔

Via @BBCNews https://t.co/a5FKtNBur0",Sat Dec 23 12:00:02 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"Feel the rhythm! Feel the rhyme! Get on up, it's bobsled time! ❄️ 🇯🇲#CoolRunnings is on @BBCOne at 1:15pm.… https://t.co/i4D56lJwaz",Sat Dec 23 11:33:04 +0000 2017,0.0,0.0,0.0,1.0
@BBC,RT @bbcthree: The young woman helping those who are forgotten this time of year. https://t.co/xhkeowvwsP,Sat Dec 23 10:48:14 +0000 2017,0.0772,0.129,0.111,0.76
@BBC,RT @BBCOne: Polar bear cubs sliding around in snow are just the cutest. 💙 #SnowBears. Boxing Day on @BBCOne. https://t.co/1Tt5JrAX54,Sat Dec 23 10:45:47 +0000 2017,0.5859,0.174,0.0,0.826
@BBC,"Join this solitary green turtle as it bumps into another turtle at the cleaning station. 🐢

#ASlowOdyssey | @BBCFour https://t.co/l0qTDblIYn",Sat Dec 23 10:00:05 +0000 2017,0.296,0.115,0.0,0.885
@BBC,"Rhinovirus C., which was considered a uniquely human virus, has been found in chimps. 🐵😷
Scientists have found it c… https://t.co/CEUa96btBS",Sat Dec 23 10:00:05 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"From breaking records in the swimming pool to becoming Australia's 'million dollar mermaid', this is the amazing st… https://t.co/UFQYjXCbrj",Sat Dec 23 09:03:03 +0000 2017,0.5859,0.174,0.0,0.826
@BBC,Presents! Chocolate for breakfast! Movie marathons! How much of a Christmas kidult are you? 🎅… https://t.co/AlYfskm5D6,Sat Dec 23 08:04:04 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"🤰Expectant mothers are told to change many aspects of their lives, from eating more to being careful about flying.… https://t.co/EBDw4a4jC6",Fri Dec 22 19:59:04 +0000 2017,0.2177,0.089,0.0,0.911
@BBC,"😋🥗 Being vegan doesn’t mean missing out at Christmas. From mince pies to main courses, we’ve got plenty of festive… https://t.co/GKpfjOEZTG",Fri Dec 22 19:30:09 +0000 2017,-0.296,0.0,0.099,0.901
@BBC,Lenny is a dementia-friendly barber who travels around hospitals and nursing homes with his pop-up barbershop. ✂️💈… https://t.co/ZVEVn0x1zt,Fri Dec 22 19:00:02 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"British passports will change from burgundy to blue after Britain leaves the EU, the Home Office has said.… https://t.co/jigptHLLgp",Fri Dec 22 18:33:04 +0000 2017,0.0,0.0,0.0,1.0
@BBC,"Will you be naughty or nice this year? 

11 tips for how to avoid an argument this Christmas.
👉… https://t.co/KpN3KV3EHr",Fri Dec 22 18:00:06 +0000 2017,-0.2263,0.114,0.192,0.694
